100065,56645
100211,79263
100313,51229
100376,69208
100564,3812
100568,81144
100658,21114
100724,97092
100779,60407
101036,28988
101056,15648
101084,56972
101176,35608
101393,30869
101412,98196
101450,32850
101735,42755
101800,99400
101808,54064
101919,27
101930,12690
102280,79240
102287,14571
102477,87841
102486,61838
102510,25830
102592,11136
102681,31773
102716,8428
102755,62415
102852,37716
102964,3012
103073,10309
103079,26307
103451,18183
103466,8178
103486,94838
103633,36789
103642,10786
103662,97446
103699,12767
103876,34708
104186,27938
104218,46594
104465,21845
104545,68485
104661,11113
104754,9082
104986,94338
105009,38997
105348,92884
105350,31550
105404,75532
105411,10863
105428,39524
105571,4143
105704,75432
105834,88722
106016,7328
106091,57303
106109,5297
106129,91957
106180,77940
106204,41932
106229,25257
106262,63246
106267,59911
106294,81902
106296,20568
106321,3893
106322,23226
106325,81225
106408,85864
106412,63196
106610,91130
106738,65754
106747,39751
106759,71747
106801,83733
106818,12394
106988,99004
107031,30323
107352,36216
107426,66858
107617,59461
107649,78117
107655,94115
107737,79421
107922,56026
108129,57957
108385,7205
108401,16533
108566,6478
108609,37797
108682,49106
108773,8409
109104,7632
109218,11594
109283,68239
109350,63550
109399,10867
109423,74859
109578,71474
109762,28746
109823,8059
109881,29373
109894,80702
109910,90030
110140,36620
110146,52618
110326,32558
110334,87222
110465,19845
110481,29173
110752,68416
110759,3747
110906,45698
110983,34339
111066,38978
111143,39677
111167,75685
111332,85740
111364,67084
111368,89752
111387,22425
111597,62495
111651,18513
111721,65203
111788,69892
111840,64576
111950,37946
112057,69315
112085,27991
112089,50659
112110,44666
112199,24029
112312,39400
112444,87444
112647,62845
112806,88898
112829,44239
112988,70292
113106,88998
113147,96345
113166,29018
113245,1711
113351,52413
113359,97749
113478,97122
113729,44539
113784,81224
113814,1234
113823,27237
113847,63245
114130,92006
114152,66680
114385,62091
114389,84759
114536,42808
114608,50832
114631,6173
114648,77512
114820,52236
115002,33630
115045,2311
115058,50982
115549,58479
115610,79166
115629,11839
115642,60510
115656,89848
115713,87867
115773,27887
115994,55294
116155,42681
116431,6773
116622,14170
116624,75504
