85000,596,183,22468
57001,460,71,93180
62002,533,21,4489
78003,752,101,38416
13004,678,37,7774
37005,322,92,25226
17006,489,25,53837
14007,891,155,25703
82008,430,180,13190
90009,728,146,74424
65010,852,248,71716
76011,352,117,5216
51012,554,131,10482
93013,522,0,91826
38014,201,205,85933
43015,428,41,74524
59016,248,138,94584
56017,863,202,84379
88018,448,140,61184
68019,670,148,53110
22020,986,175,62338
54021,281,90,32573
40022,618,190,47794
90023,799,20,47067
14024,980,84,46340
88025,719,69,427
19026,368,109,14544
75027,646,117,89118
12028,195,94,69935
79029,252,169,71916
48030,392,105,78536
38031,923,186,44359
51032,501,235,85833
29033,364,23,37212
84034,170,49,86610
18035,403,54,91199
81036,386,131,62538
58037,507,202,1831
86038,565,228,23145
83039,888,39,67704
61040,308,132,54564
75041,381,6,65873
14042,459,130,73847
30043,808,239,21064
28044,949,82,47017
81045,985,115,43005
43046,344,231,50552
76047,783,68,37739
48048,368,32,14544
36049,252,14,71916
53050,106,14,49298
46051,721,106,39093
36052,481,231,99173
75053,802,183,5066
21054,301,82,19233
34055,947,14,8351
79056,567,48,61811
33057,233,98,4589
94058,491,79,92503
86059,539,187,20487
35060,242,46,78586
44061,983,10,4339
54062,793,220,31069
38063,876,207,35708
38064,597,52,41801
39065,927,201,21691
71066,180,61,79940
49067,440,13,6520
88068,223,213,11259
41069,796,37,89068
93070,252,25,71916
28071,692,161,78436
88072,409,200,7197
34073,662,227,98446
64074,265,129,23245
19075,163,192,51279
80076,152,77,38616
58077,666,219,75778
64078,305,38,96565
92079,426,66,35858
57080,189,69,53937
45081,308,14,54564
94082,601,155,19133
50083,550,225,33150
91084,667,211,95111
50085,349,243,47217
84086,348,39,27884
62087,327,147,21891
29088,134,166,90622
69089,350,26,66550
14090,421,18,39193
88091,299,188,80567
37092,159,45,73947
16093,503,13,24499
75094,309,199,73897
64095,975,5,49675
79096,439,88,87187
47097,771,53,5743
96098,417,119,61861
59099,209,247,40597
34100,845,226,36385
61101,773,35,44409
67102,396,131,55868
87103,922,20,25026
34104,122,179,58626
96105,763,237,51079
81106,210,238,59930
81107,313,157,51229
56108,550,19,33150
82109,417,10,61861
64110,948,49,27684
48111,436,102,29188
25112,790,137,73070
57113,810,209,59730
28114,659,245,40447
43115,197,106,8601
52116,380,137,46540
19117,559,128,7147
40118,864,77,3712
25119,432,50,51856
54120,411,128,45863
20121,129,126,93957
24122,589,186,87137
48123,857,205,68381
53124,532,94,85156
14125,626,53,2458
31126,123,41,77959
84127,165,146,89945
97128,524,70,30492
67129,714,135,3762
22130,559,237,7147
97131,804,204,43732
76132,324,175,63892
61133,314,30,70562
17134,508,142,21164
81135,218,190,14594
94136,818,15,14394
15137,428,104,74524
94138,352,217,5216
65139,850,123,33050
91140,346,186,89218
46141,778,203,41074
81142,398,130,94534
31143,986,103,62338
34144,270,81,19910
40145,797,209,8401
82146,582,148,51806
47147,804,82,43732
33148,124,93,97292
91149,915,8,89695
60150,102,128,71966
71151,503,35,24499
47152,350,2,66550
46153,132,21,51956
17154,512,94,98496
92155,123,167,77959
31156,391,44,59203
32157,250,219,33250
82158,759,136,73747
43159,449,69,80517
41160,835,4,43055
21161,292,224,45236
49162,519,37,33827
78163,746,70,22418
28164,195,105,69935
60165,171,32,5943
68166,699,145,13767
47167,699,209,13767
91168,403,31,91199
39169,964,78,37012
57170,340,123,73220
71171,576,156,35808
28172,456,30,15848
43173,278,227,74574
94174,929,201,60357
48175,591,182,25803
46176,954,83,43682
51177,514,154,37162
54178,969,23,33677
56179,356,135,82548
73180,388,248,1204
64181,972,196,91676
92182,810,58,59730
38183,955,144,63015
72184,351,224,85883
67185,499,41,47167
17186,238,12,1254
77187,758,136,54414
45188,316,30,9228
17189,660,183,59780
25190,151,117,19283
34191,424,132,97192
55192,677,158,88441
61193,429,230,93857
53194,327,22,21891
49195,276,241,35908
32196,442,168,45186
60197,527,200,88491
81198,938,0,34354
87199,277,246,55241
18200,307,221,35231
55201,370,196,53210
58202,751,179,19083
47203,198,54,27934
10204,499,46,47167
98205,779,108,60407
15206,535,22,43155
87207,528,123,7824
20208,272,165,58576
14209,637,25,15121
50210,885,234,9705
11211,310,144,93230
64212,588,53,67804
46213,727,18,55091
53214,398,241,94534
34215,940,240,73020
92216,669,160,33777
11217,813,216,17729
37218,846,193,55718
27219,179,223,60607
10220,176,194,2608
90221,795,19,69735
46222,656,135,82448
80223,146,100,22618
86224,494,245,50502
86225,838,195,1054
97226,644,237,50452
75227,964,95,37012
91228,332,221,18556
18229,675,113,49775
66230,184,19,57272
66231,863,112,84379
62232,190,90,73270
36233,615,29,89795
25234,343,187,31219
31235,672,112,91776
52236,388,12,1204
27237,826,13,69058
33238,330,136,79890
80239,161,249,12613
16240,762,27,31746
60241,221,157,72593
57242,545,182,36485
62243,425,7,16525
65244,393,150,97869
89245,653,205,24449
22246,247,14,75251
15247,642,135,11786
23248,660,136,59780
74249,952,62,5016
29250,602,35,38466
23251,491,100,92503
24252,510,232,59830
91253,126,111,35958
49254,189,245,53937
41255,196,176,89268
33256,883,53,71039
67257,808,214,21064
52258,928,153,41024
93259,293,45,64569
19260,566,151,42478
87261,647,93,8451
86262,401,85,52533
23263,722,217,58426
13264,328,120,41224
71265,265,232,23245
85266,208,164,21264
53267,445,133,3185
35268,613,50,51129
54269,138,52,67954
92270,785,240,76405
88271,518,243,14494
71272,359,70,40547
42273,656,51,82448
33274,837,45,81721
53275,200,55,66600
70276,198,35,27934
31277,978,1,7674
50278,290,42,6570
31279,399,45,13867
58280,357,71,1881
85281,573,157,77809
36282,537,106,81821
35283,566,48,42478
74284,494,49,50502
15285,507,2,1831
67286,606,186,15798
30287,579,107,93807
95288,237,127,81921
15289,312,2,31896
50290,193,27,31269
98291,157,102,35281
14292,846,174,55718
97293,669,78,33777
47294,152,134,38616
23295,329,211,60557
43296,655,145,63115
48297,150,52,99950
58298,957,67,1681
10299,894,239,83702
37300,897,223,41701
66301,657,157,1781
18302,594,194,83802
45303,870,97,19710
22304,245,122,36585
61305,260,166,26580
28306,919,183,67027
94307,522,60,91826
80308,752,49,38416
71309,900,145,99700
43310,176,247,2608
89311,636,221,95788
17312,954,30,43682
54313,574,179,97142
47314,861,68,45713
14315,411,145,45863
96316,342,115,11886
38317,259,64,7247
61318,643,199,31119
49319,732,47,51756
31320,452,110,38516
89321,182,119,18606
46322,593,177,64469
84323,825,207,49725
23324,356,243,82548
11325,943,67,31019
84326,213,139,17929
96327,423,60,77859
85328,629,233,60457
34329,696,123,55768
31330,612,174,31796
15331,182,7,18606
64332,576,84,35808
97333,680,147,46440
83334,177,245,21941
78335,914,2,70362
21336,544,83,17152
43337,501,228,85833
